x,y,z
-182,333,-548
-192,335,-544
-189,329,-539
-203,317,-545
-208,302,-537
-205,291,-534
-218,281,-540
-219,268,-532
-222,255,-533
-214,256,-527
-208,232,-515
-207,223,-530
-219,195,-525
-213,189,-515
-222,166,-506
-219,162,-514
-217,148,-509
-220,135,-508
-222,131,-499
-228,132,-498
-227,124,-492
-234,126,-483
-236,114,-485
-233,123,-475
-233,123,-477
-236,119,-476
-241,121,-476
-240,123,-482
-234,124,-474
-243,140,-485
-252,148,-482
-252,169,-489
-255,173,-488
-248,185,-497
-250,180,-492
-253,206,-503
-242,214,-500
-241,229,-522
-248,239,-513
-235,251,-511
-242,256,-530
-232,255,-524
-224,254,-534
-214,249,-541
-213,253,-542
-211,239,-542
-200,237,-536
-210,234,-540
-206,232,-549
-204,227,-540
-201,229,-540
-200,221,-548
-207,216,-534
-207,223,-541
-208,217,-544
-211,210,-542
-192,196,-528
-197,196,-540
-205,188,-530
-203,191,-527
-203,174,-527
-194,173,-535
-198,158,-530
-203,153,-511
-198,139,-520
-189,137,-511
-197,119,-515
-185,110,-515
-178,91,-501
-180,96,-490
-177,71,-502
-161,64,-502
-163,52,-498
-150,42,-497
-143,42,-499
-138,32,-499
-135,38,-498
-124,25,-501
-118,33,-505
-101,25,-508
-100,33,-518
-88,33,-520
-85,35,-522
-73,37,-531
-76,38,-530
-86,36,-530
-78,42,-528
-86,52,-532
-81,57,-532
-86,55,-527
-75,53,-537
-81,55,-534
-88,64,-536
-94,60,-531
-100,66,-543
-95,73,-539
-90,76,-536
-104,80,-545
-92,93,-540
-109,94,-559
-110,93,-551
-103,114,-553
-113,119,-551
-113,131,-569
-123,139,-568
-116,144,-568
-123,155,-570
-121,162,-573
-120,185,-580
-113,187,-578
-114,205,-593
-109,216,-591
-107,242,-595
-111,256,-586
-100,282,-591
-115,295,-592
-110,309,-590
-116,319,-593
-122,342,-590
-115,351,-580
-124,370,-583
-116,376,-568
-138,386,-565
-138,386,-576
-150,403,-556
-149,399,-554
-165,406,-548
-165,394,-541
-180,396,-533
-187,389,-535
-198,378,-516
-212,364,-516
-215,372,-526
-229,356,-526
-213,344,-513
-229,332,-522
-231,319,-516
-227,304,-533
-232,290,-517
-222,276,-524
-239,262,-522
-239,241,-517
-242,226,-514
-231,200,-502
-247,200,-509
-238,183,-493
-249,165,-482
-250,161,-492
-241,164,-479
-252,153,-480
-255,152,-476
-259,151,-466
-262,142,-474
-267,150,-467
-264,168,-479
-274,166,-472
-267,171,-467
-274,192,-479
-264,178,-485
-262,208,-490
-262,213,-485
-255,232,-499
-257,243,-501
-253,248,-503
-236,267,-513
-239,281,-515
-228,282,-532
-227,292,-531
-212,294,-532
-206,297,-535
-204,295,-535
-206,292,-544
-213,290,-549
-200,291,-548
-203,270,-545
-199,269,-547
-205,249,-543
-199,253,-544
-207,237,-539
-211,234,-535
-199,227,-533
-190,213,-551
-199,206,-549
-204,208,-540
-207,193,-530
-197,192,-524
-198,183,-525
-203,174,-530
-199,164,-513
-212,144,-518
-194,140,-510
-191,134,-509
-190,128,-508
-197,103,-497
-185,103,-503
-183,84,-501
-183,79,-494
-178,63,-492
-172,59,-484
-168,50,-484
-163,41,-489
-145,28,-492
-144,36,-491
-130,22,-493
-124,28,-490
-110,23,-492
-111,15,-493
-90,24,-507
-90,24,-500
-87,18,-499
-80,30,-506
-75,23,-515
-74,29,-509
-73,32,-503
-74,33,-518
-65,26,-523
-62,31,-530
-69,48,-532
-75,53,-535
-72,50,-544
-72,59,-536
-85,58,-535
-83,62,-534
-85,63,-535
-82,79,-542
-94,86,-551
-106,96,-544
-101,86,-544
-115,110,-553
-109,111,-564
-113,126,-549
-115,126,-553
-121,139,-557
-123,148,-568
-117,154,-571
-120,166,-567
-128,181,-582
-121,186,-579
-125,198,-588
-127,208,-585
-125,233,-582
-131,232,-590
-135,254,-588
-136,264,-585
-137,282,-588
-143,288,-585
-146,305,-573
-155,328,-580
-149,322,-570
-162,339,-562
-157,349,-569
-178,358,-569
-165,362,-557
-172,364,-550
-158,373,-554
-166,389,-537
-173,386,-551
-173,384,-549
-178,389,-537
-197,367,-531
-191,364,-530
-206,344,-533
-212,331,-523
-210,331,-525
-227,318,-519
-221,303,-511
-222,292,-519
-229,281,-515
-241,278,-515
-226,256,-511
-233,244,-516
-236,227,-513
-238,230,-509
-231,216,-507
-233,207,-505
-242,205,-498
-245,188,-496
-249,188,-482
-253,187,-479
-261,183,-482
-264,192,-476
-260,189,-483
-267,185,-476
-266,198,-475
-266,205,-473
-259,193,-480
-259,202,-489
-260,215,-481
-276,229,-485
-266,226,-484
-254,240,-493
-257,243,-499
-245,261,-505
-252,263,-514
-243,278,-517
-231,273,-518
-225,276,-526
-227,290,-528
-218,276,-540
-212,273,-543
-204,269,-542
-218,267,-537
-212,254,-539
-225,255,-533
-222,255,-531
-215,241,-531
-226,244,-523
-221,221,-534
-207,230,-525
-213,206,-524
-218,215,-537
-222,199,-517
-213,199,-519
-220,182,-515
-220,180,-517
-208,166,-513
-217,162,-518
-199,147,-517
-190,150,-517
-201,126,-508
-197,119,-506
-179,99,-509
-182,90,-505
-182,78,-502
-175,69,-489
-164,51,-483
-146,41,-480
-157,30,-481
-135,15,-482
-130,22,-482
-113,18,-488
-118,17,-493
-109,10,-486
-100,15,-491
-93,5,-496
-86,3,-491
-74,10,-498
-79,19,-496
-75,11,-494
-68,4,-501
-65,12,-505
-80,16,-503
-74,24,-505
-85,25,-510
-74,31,-511
-74,24,-520
-73,32,-524
-75,30,-522
-75,49,-526
-80,44,-519
-92,60,-531
-93,55,-539
-90,71,-532
-95,73,-545
-87,79,-547
-95,83,-545
-81,101,-559
-90,99,-564
-93,108,-561
-87,110,-562
-87,126,-565
-107,137,-575
-110,152,-580
-114,155,-582
-116,176,-568
-117,185,-574
-116,195,-582
-116,202,-584
-104,228,-597
-93,256,-595
-87,271,-608
-50,292,-612
-43,307,-612
-22,325,-617
-5,339,-605
-6,357,-609
-20,378,-604
-38,396,-601
-39,404,-595
-48,416,-586
-73,431,-585
-92,424,-565
-101,435,-560
-116,451,-561
-122,440,-547
-130,446,-543
-142,451,-539
-142,437,-532
-135,446,-534
-157,440,-535
-152,433,-537
-163,404,-534
-172,397,-541
-173,377,-533
-191,350,-534
-194,337,-535
-213,309,-533
-208,292,-526
-229,264,-524
-231,258,-514
-233,226,-507
-241,217,-508
-252,188,-498
-249,183,-491
-253,168,-481
-247,153,-473
-259,153,-466
-249,151,-473
-255,131,-465
-249,139,-468
-245,146,-471
-266,132,-468
-271,145,-458
-255,140,-460
-262,140,-458
-276,154,-456
-274,159,-469
-269,178,-469
-273,191,-466
-275,195,-475
-264,210,-469
-264,206,-474
-271,217,-481
-259,226,-496
-253,232,-494
-264,239,-499
-256,228,-511
-242,237,-498
-248,232,-513
-252,233,-514
-247,233,-507
-240,223,-518
-233,216,-502
-235,214,-502
-241,220,-515
-233,214,-514
-232,225,-519
-211,222,-533
-214,212,-539
-203,198,-536
-204,199,-540
-205,179,-534
-204,175,-537
-191,158,-525
-189,155,-527
-190,133,-519
-182,130,-516
-179,106,-509
-183,98,-501
-177,78,-503
-185,67,-481
-192,65,-481
-191,48,-466
-191,33,-464
-191,17,-452
-184,24,-450
-179,15,-448
-179,3,-437
-173,11,-433
-170,-6,-432
-164,0,-442
-152,2,-447
-151,-6,-443
-144,-13,-446
-154,-9,-446
-148,-17,-451
-138,-17,-454
-137,-16,-455
-149,-2,-459
-145,2,-456
-146,3,-464
-144,5,-477
-148,16,-476
-149,22,-475
-162,25,-474
-163,33,-475
-176,42,-483
-175,41,-489
-184,52,-486
-193,69,-491
-187,72,-485
-199,96,-501
-203,97,-505
-200,113,-516
-210,111,-498
-206,128,-503
-218,133,-510
-214,155,-507
-212,162,-525
-214,165,-518
-222,180,-524
-212,183,-525
-212,195,-525
-207,212,-532
-219,221,-527
-212,233,-539
-210,230,-541
-189,254,-552
-186,256,-564
-170,270,-570
-159,271,-571
-151,296,-577
-136,309,-590
-127,335,-587
-128,331,-575
-124,342,-585
-116,352,-584
-114,357,-586
-111,366,-588
-117,367,-594
-106,367,-576
-124,363,-580
-121,376,-573
-131,370,-574
-138,370,-562
-151,373,-566
-179,366,-557
-171,367,-542
-196,345,-543
-200,333,-534
-203,322,-539
-213,316,-531
-212,282,-523
-215,276,-526
-227,262,-515
-220,234,-524
-227,217,-522
-225,196,-513
-222,171,-522
-217,172,-511
-224,137,-502
-222,142,-510
-213,119,-492
-215,110,-499
-208,93,-499
-201,84,-485
-203,83,-475
-207,69,-475
-215,77,-467
-207,64,-455
-206,56,-454
-217,55,-446
-225,58,-451
-217,50,-450
-217,57,-446
-232,53,-426
-231,52,-437
-242,59,-437
-238,71,-439
-254,76,-434
-250,70,-435
-257,86,-440
-260,89,-431
-275,101,-443
-274,112,-442
-270,130,-448
-285,145,-447
-274,159,-458
-269,168,-463
-275,195,-477
-264,201,-488
-247,216,-496
-254,230,-498
-245,237,-509
-246,241,-513
-239,243,-510
-236,241,-515
-240,244,-509
-240,237,-509
-242,240,-516
-235,228,-509
-235,223,-511
-224,223,-514
-236,225,-519
-226,212,-516
-226,226,-518
-226,230,-514
-221,221,-518
-212,221,-527
-214,219,-536
-213,220,-533
-212,221,-525
-206,213,-535
-210,207,-532
-206,192,-522
-201,185,-522
-205,160,-520
-215,147,-510
-210,141,-502
-200,116,-507
-208,105,-488
-190,107,-492
-197,70,-488
-192,53,-479
-189,55,-468
-170,33,-464
-173,25,-460
-158,-2,-441
-159,-8,-442
-148,-15,-445
-144,-16,-439
-138,-33,-438
-127,-29,-442
-118,-23,-443
-114,-25,-446
-116,-30,-455
-110,-17,-449
-107,-23,-468
-102,-18,-459
-103,-15,-474
-120,-8,-476
-111,-2,-473
-117,2,-467
-118,5,-486
-124,11,-488
-127,11,-488
-139,17,-486
-146,38,-484
-150,30,-497
-169,58,-485
-169,53,-488
-180,77,-501
-179,80,-507
-185,93,-508
-196,108,-502
-178,119,-513
-187,119,-517
-196,134,-518
-196,146,-520
-203,151,-516
-206,161,-517
-211,168,-517
-213,192,-533
-217,200,-518
-211,203,-531
-204,220,-537
-207,254,-550
-196,254,-552
-193,273,-552
-177,270,-568
-164,295,-580
-146,301,-570
-146,317,-575
-129,325,-580
-125,338,-588
-121,345,-593
-111,341,-593
-108,356,-587
-116,369,-579
-118,364,-577
-131,365,-585
-141,375,-580
-142,366,-573
-159,358,-562
-168,366,-550
-198,364,-543
-201,349,-542
-220,351,-522
-228,338,-523
-233,329,-511
-235,326,-514
-238,315,-514
-243,314,-510
-250,302,-503
-260,281,-501
-257,267,-508
-260,260,-499
-253,248,-501
-248,236,-497
-253,206,-492
-245,191,-475
-256,183,-477
-247,176,-477
-253,147,-474
-248,142,-483
-235,120,-473
-232,114,-472
-236,91,-467
-239,98,-465
-235,73,-456
-229,75,-451
-231,66,-450
-236,51,-438
-238,57,-437
-232,60,-447
-232,63,-440
-236,65,-447
-234,75,-454
-234,84,-456
-235,101,-464
-241,110,-465
-239,126,-474
-248,133,-479
-234,142,-481
-239,161,-501
-240,169,-502
-239,187,-510
-227,175,-510
-222,206,-515
-220,194,-519
-219,214,-534
-211,208,-537
-205,216,-536
-183,222,-542
-187,232,-551
-182,226,-554
-177,235,-552
-171,225,-565
-166,227,-560
-173,225,-556
-162,225,-567
-170,219,-564
-172,226,-554
-166,217,-558
-166,217,-560
-165,212,-557
-170,219,-554
-172,207,-552
-172,200,-554
-172,195,-552
-165,188,-545
-175,179,-545
-177,179,-543
-179,165,-539
-178,152,-535
-180,145,-526
-185,135,-531
-193,123,-505
-185,110,-506
-204,98,-501
-197,93,-492
-199,75,-483
-197,72,-465
-193,45,-471
-200,50,-457
-187,32,-474
-182,33,-462
-172,30,-458
-156,31,-457
-155,16,-460
-144,-2,-464
-148,0,-460
-137,-11,-457
-143,-22,-447
-122,-19,-456
-122,-12,-449
-115,-26,-449
-109,-18,-457
-95,-32,-455
-103,-22,-456
-100,-34,-468
-101,-22,-465
-97,-13,-462
-104,-11,-475
-103,-8,-467
-102,-16,-473
-114,-9,-464
-115,-3,-479
-114,8,-477
-121,-2,-468
-123,3,-480
-138,21,-481
-157,23,-494
-148,44,-492
-159,46,-490
-185,56,-490
-168,69,-498
-183,77,-499
-189,90,-505
-193,101,-509
-191,113,-514
-196,130,-520
-197,135,-519
-192,164,-531
-190,166,-535
-178,194,-549
-189,195,-552
-165,228,-550
-161,237,-573
-149,258,-582
-143,276,-578
-122,300,-580
-128,303,-593
-123,322,-586
-110,325,-596
-120,335,-590
-111,329,-584
-122,344,-576
-123,350,-573
-142,355,-575
-139,357,-570
-164,370,-558
-165,366,-554
-184,371,-548
-187,370,-542
-185,377,-535
-205,378,-527
-217,373,-507
-220,365,-517
-220,365,-510
-239,344,-506
-243,342,-497
-252,310,-500
-241,309,-503
-252,282,-486
-253,278,-501
-257,255,-501
-259,249,-493
-256,214,-484
-234,203,-485
-248,178,-488
-250,168,-485
-240,134,-475
-240,130,-464
-228,104,-473
-224,99,-464
-215,67,-467
-232,82,-456
-228,62,-462
-222,58,-440
-212,57,-450
-219,48,-441
-218,42,-447
-210,48,-434
-226,48,-455
-215,51,-433
-217,55,-443
-218,56,-454
-213,56,-454
-218,70,-460
-214,73,-464
-222,82,-467
-208,96,-474
-210,106,-489
-208,110,-488
-200,127,-507
-194,126,-517
-182,134,-523
-177,141,-530
-173,138,-535
-172,148,-539
-173,147,-537
-162,147,-535
-164,157,-531
-159,157,-537
-165,148,-545
-169,150,-535
-166,157,-544
-155,147,-544
-165,155,-548
-168,144,-550
-163,148,-550
-169,138,-547
-169,147,-531
-156,134,-539
-165,137,-536
-163,134,-532
-156,134,-541
-155,131,-531
-159,128,-535
-171,119,-533
-163,120,-516
-172,125,-530
-172,125,-527
-178,133,-526
-164,131,-526
-178,124,-533
-178,128,-524
-183,135,-524
-180,133,-519
-176,133,-526
-172,127,-527
-171,107,-508
-168,97,-507
-166,72,-501
-172,69,-500
-155,60,-494
-154,50,-482
-154,26,-480
-139,26,-475
-128,10,-473
-120,11,-474
-108,9,-481
-103,2,-485
-87,-3,-479
-90,-16,-480
-82,-12,-476
-75,-17,-474
-69,-4,-473
-62,-18,-473
-53,-20,-484
-48,-9,-493
-58,-13,-489
-48,1,-491
-45,-5,-503
-46,5,-502
-43,7,-499
-48,12,-505
-48,15,-502
-62,8,-500
-74,8,-507
-80,18,-494
-92,18,-497
-107,22,-500
-108,25,-494
-129,39,-488
-135,41,-500
-148,46,-499
-150,63,-510
-156,67,-513
-151,87,-520
-158,92,-523
-156,113,-530
-155,126,-537
-150,135,-549
-143,147,-553
-132,162,-552
-125,162,-568
-115,196,-578
-108,199,-590
-90,233,-600
-95,244,-607
-73,267,-610
-61,281,-610
-46,301,-604
-53,312,-604
-52,337,-603
-55,352,-604
-65,357,-595
-61,372,-592
-72,394,-588
-87,391,-585
-93,397,-573
-102,401,-582
-127,396,-569
-136,396,-558
-162,391,-547
-162,377,-547
-171,379,-544
-194,370,-533
-198,359,-530
-217,343,-532
-217,333,-518
-220,316,-517
-231,303,-523
-228,296,-520
-225,278,-513
-232,255,-524
-221,249,-509
-243,222,-513
-238,200,-507
-233,176,-509
-225,175,-494
-229,159,-492
-222,159,-490
-213,133,-492
-220,135,-492
-215,119,-499
-226,111,-489
-233,113,-482
-222,105,-472
-234,98,-469
-222,107,-472
-238,97,-471
-227,100,-469
-227,112,-474
-241,110,-474
-235,120,-477
-233,125,-482
-249,130,-477
-240,151,-491
-238,165,-489
-249,174,-496
-242,169,-500
-245,183,-509
-240,198,-507
-235,193,-507
-234,199,-497
-235,193,-505
-233,195,-509
-227,192,-506
-231,188,-511
-228,176,-514
-228,186,-507
